FactCampaignPK,dateFK,documentFK,reach,impressions,frequency,result,price,views
1,20250211,6246,0,0,0,0,2.00 $US,0
2,20250211,6247,0,0,0,0,2.00 $US,0
3,20250211,6248,0,0,0,0,2.00 $US,0
4,20250211,6249,0,0,0,0,2.00 $US,0
5,20250211,6250,0,0,0,0,3.00 $US,0
6,20250212,6251,0,0,0,0,5.00 $US,0
7,20250212,6252,0,0,0,0,5.00 $US,0
8,20250212,6253,0,0,0,0,8.00 $US,0
9,20250214,6254,0,0,0,0,12.00 $US,0
10,20250215,6255,0,0,0,0,18.00 $US,0
11,20250301,6256,0,0,0,0,20.00 $US,0
12,20250301,6257,0,0,0,0,22.00 $US,0
13,20250304,6258,0,0,0,0,26.53 $US,0
25,20250721,6270,1357,1557,"1,14738394",1,"1,88","66,66666667"
26,20250804,6271,1865,2094,"1,1227882",1,"1,82","37,03703704"
27,20250721,6272,1458,1711,"1,17352538",1,"1,71","66,66666667"
28,20250721,6273,1691,1881,"1,11235955",1,"1,63","57,5"
29,20250814,6274,2578,2693,"1,04460822",1,"1,27","37,03703704"
30,20250814,6275,2040,2117,"1,0377451",1,"1,14","29,03225806"
31,20250814,6310,1983,1998,"1,0075643",1,"1,07","36,66666667"
32,20250814,6277,2387,2467,"1,03351487",1,"1,02",50
33,20250814,6278,2010,2099,"1,04427861",1,"0,95","40,90909091"
34,20250814,6279,1702,1790,"1,05170388",1,"0,94","53,84615385"
35,20250804,6298,1779,1918,"1,07813378",2,"1,8","32,25806452"
36,20250804,6319,1825,2083,"1,14136986",2,"1,8","46,34146341"
37,20250804,6282,2387,2654,"1,11185589",2,"1,78",50
38,20250727,6321,3784,4628,"1,2230444",5,"3,69",48
39,20250812,6310,1216,1255,"1,03207237",1,"0,62","65,38461538"
40,20250814,6285,1333,1400,"1,05026257",1,"0,61","47,36842105"
41,20250814,6286,2196,2196,1,2,"1,21","57,69230769"
42,20250814,6310,2182,2262,"1,03666361",2,"1,14","45,16129032"
43,20250814,6288,1051,1060,"1,00856327",1,"0,54","45,45454545"
44,20250814,6289,926,966,"1,04319654",1,"0,54",50
45,20250814,6290,996,1010,"1,01405622",1,"0,51","42,85714286"
46,20250814,6291,1684,1760,"1,04513064",2,"0,98","44,44444444"
47,20250814,6292,2050,2067,"1,00829268",2,"0,92","45,83333333"
48,20250721,6293,1489,1645,"1,1047683",4,"1,72","68,18181818"
49,20250727,6310,4694,5649,"1,20345121",10,"3,55","59,2920354"
50,20250812,6302,617,647,"1,04862237",1,"0,33","28,57142857"
51,20250814,6296,1098,1125,"1,02459016",2,"0,64","58,33333333"
52,20250812,6298,488,501,"1,02663934",1,"0,32",60
53,20250812,6298,481,494,"1,02702703",1,"0,31","46,15384615"
54,20250814,6299,1073,1109,"1,03355079",2,"0,61","68,42105263"
55,20250814,6300,1695,1755,"1,03539823",3,"0,83","52,38095238"
56,20250814,6301,1426,1516,"1,0631136",3,"0,61","66,66666667"
57,20250804,6302,1533,1891,"1,23352903",9,"1,83","58,06451613"
58,20250812,6310,1187,1242,"1,0463353",3,"0,59",50
59,20250814,6304,29,31,"1,06896552",1,0,100
60,20250814,6305,2386,2474,"1,03688181",0,"1,07","18,18181818"
61,20250814,6306,123,125,"1,01626016",0,0,50
62,20250715,6307,1510,1697,"1,12384106",0,"1,61","55,55555556"
63,20250814,6308,18,18,1,0,0,0
64,20250814,6321,33,33,1,0,0,0
65,20250814,6310,1664,1722,"1,03485577",0,"0,88","29,16666667"
66,20250814,6311,1341,1400,"1,04399702",0,"0,55","20,83333333"
67,20250814,6312,99,101,"1,02020202",0,0,100
68,20250814,6313,1309,1396,"1,06646295",0,"0,51","53,84615385"
69,20250814,6314,129,133,"1,03100775",0,0,100
70,20250814,6315,101,103,"1,01980198",0,"0,02",0
71,20250814,6316,156,157,"1,00641026",0,"0,01","33,33333333"
72,20250721,6317,1905,2411,"1,2656168",0,"1,7","60,71428571"
73,20250812,6318,1098,1156,"1,05282332",0,"0,64","70,58823529"
74,20250812,6319,721,755,"1,04715673",0,"0,61",50
75,20250812,6321,109,113,"1,03669725",0,0,0
76,20250812,6321,115,117,"1,0173913",0,0,50
77,20250814,6322,45,45,1,0,0,100
78,20250814,6323,2119,2210,"1,04294479",0,"1,12","45,16129032"
79,20250814,6324,22,24,"1,09090909",0,0,0
80,20250814,6325,2174,2224,"1,02299908",0,"1,05","43,47826087"
81,20250814,6326,16,17,"1,0625",0,0,0
82,20250814,6327,1119,1183,"1,05719392",0,"0,29","33,33333333"
83,20250814,6328,1268,1268,1,0,"0,6","35,29411765"
84,20250814,6329,24,25,"1,04166667",0,0,100
85,20250715,6330,1318,1535,"1,1646434",0,"1,75",50
86,20250814,6331,2446,2618,"1,07031889",0,"1,23","38,46153846"
87,20250814,6332,52,52,1,0,0,0
88,20250814,6333,749,776,"1,03604806",0,"0,23",75
89,20250814,6334,1833,1858,"1,01363884",0,"1,04","33,33333333"
90,20250814,6335,22,23,"1,04545455",0,0,0
91,20250814,6336,1207,1253,"1,03811102",0,"0,54","47,36842105"
